country,region,LifeLadder,change7,forn_ladder,local_ladder,SE_life,LnGDPpc ,GDPpc,LifeExp,SocSupp,SEsoc,LifeChoice,SEChoice,Generosity,SEGen,Corruption,SECorr,OECD,Power
Luxembourg,Western Europe,6.909944534,-0.140908241,6.802427769,7.044904709,0.033378009,11.45878601,94730,72.2013092,0.926702619,0.006027095,0.905802071,0.007094415,0.49634555,0.011298682,0.354121447,0.009865557,1,0
Macedonia,Central and Eastern Europe,5.184806347,0.88018322,4.970393181,4.898118496,0.047808833,9.47803688,13069.50391,65.7304306,0.811981857,0.008640368,0.706000268,0.009993978,0.307578921,0.009784788,0.849811912,0.007626064,0,0
Madagascar,Sub-Saharan Africa,3.773629427,-0.866449594,,,0.042675722,7.239486694,1393.37854,56.6400032,0.676454842,0.01090893,0.560127676,0.011456913,0.105848134,0.006845632,0.85706389,0.007791079,0,0
Malawi,Sub-Saharan Africa,3.586762905,-1.561476707,4.338486671,4.087022781,0.053264767,6.994550705,1090.673584,53.61896133,0.526804507,0.010558533,0.820440769,0.008140708,0.173484012,0.007933208,0.798514843,0.007800383,0,0
Malaysia,Southeast Asia,6.322121143,0.73259306,5.460124969,5.844061852,0.079167075,10.12669563,25001.61328,65.05530548,0.819711864,0.015667815,0.67375505,0.019068006,0.574268162,0.0201787,0.837454677,0.013933632,0,0
Mali,Sub-Saharan Africa,4.447013378,0.495826721,4.477404594,4.171405792,0.046863597,7.584618568,1967.695923,48.77823639,0.80947119,0.008768844,0.683123887,0.010516494,0.111183062,0.006822483,0.843466878,0.00783914,0,0
Malta,Western Europe,6.626609325,0.666631222,6.506053448,6.317131042,0.042093489,10.47640324,35468.60547,71.82951355,0.92867434,0.005729323,0.917005301,0.006019896,0.701128483,0.010255802,0.68407321,0.008850663,0,0
Mauritania,Sub-Saharan Africa,4.355462551,-0.205923557,4.733436584,4.5116992,0.046657752,8.185921669,3590.051025,53.18614578,0.814312577,0.009148897,0.48229,0.012097365,0.147491634,0.008100101,0.774384141,0.010172487,0,0
Mauritius,Sub-Saharan Africa,5.891469002,,,,0.058430381,9.898105621,19892.65039,65.51927185,0.872500658,0.008620897,0.865327895,0.008904489,0.451298952,0.01307042,0.854563832,0.008804909,0,0
Mexico,Latin America and Caribbean,6.488210201,-0.376495838,7.031229496,6.829932213,0.047234066,9.731403351,16838.16602,67.93598938,0.817257643,0.008451463,0.777239978,0.009288349,0.165230244,0.008244904,0.771834075,0.007717287,1,0
Moldova,Commonwealth of Independent States,5.639724255,0.090764523,5.186721325,5.63199234,0.036668267,8.50574398,4943.080566,63.51566315,0.837060153,0.007460257,0.569458485,0.010281339,0.228209421,0.008441678,0.946051538,0.00406552,0,0
Mongolia,East Asia,5.124616146,0.584979534,,,0.037849482,9.332962036,11304.56641,62.10375214,0.925548017,0.005208955,0.706538558,0.00936854,0.420851588,0.009870894,0.888112187,0.006342959,0,0
Montenegro,Central and Eastern Europe,5.347548485,0.220958233,5.181132793,5.237644672,0.052347716,9.66409874,15742.17578,66.94611359,0.828355908,0.008367518,0.592260122,0.010888758,0.225287452,0.00887554,0.796306431,0.008970577,0,0
Morocco,Middle East and North Africa,5.253713131,0.870465755,,,0.038055077,8.898159027,7318.487793,65.04904938,0.631378412,0.008678984,0.761203766,0.007987164,0.035593998,0.003194804,0.809573472,0.008291154,0,0
Mozambique,Sub-Saharan Africa,4.41660881,-0.236974239,,,0.081751436,7.032855511,1133.262085,49.42869949,0.67410183,0.013011578,0.820715189,0.011057083,0.168333516,0.009981631,0.654548347,0.012832333,0,0
Myanmar,Southeast Asia,4.307814121,,,,0.03814397,8.587717056,5365.351074,57.50941849,0.785158336,0.007596329,0.861743927,0.006936426,0.899886489,0.006212226,0.617967665,0.008945117,0,0
Namibia,Sub-Saharan Africa,4.441306114,,,,0.108363882,9.203362465,9930.463867,55.49542618,0.829156399,0.015412495,0.810979486,0.014902053,0.098181263,0.011568969,0.828175962,0.011867707,0,0
Nepal,South Asia,4.880447865,0.310854912,4.739814281,4.573495388,0.05679353,7.763106823,2352.201172,60.94758224,0.807448566,0.008989758,0.816732287,0.008971062,0.381380349,0.011091419,0.802883983,0.008270627,0,0
Netherlands,Western Europe,7.441338539,-0.125106335,6.944508553,7.492315292,0.029108616,10.76772881,47464.09375,71.61999512,0.913710773,0.005946035,0.910886884,0.006232221,0.656768739,0.010445513,0.402848542,0.009797391,1,1
New Zealand,North America and ANZ,7.32376194,0.021494865,7.286391258,7.326225758,0.03921007,10.46938705,35220.62109,71.56855011,0.959618747,0.004451792,0.936796427,0.006444186,0.682524621,0.011551568,0.228876606,0.009684366,1,0
Nicaragua,Latin America and Caribbean,6.140966415,0.760442257,,,0.058508568,8.543291092,5132.207031,66.02167511,0.844738066,0.007264948,0.817247272,0.008326085,0.292489469,0.009610916,0.709488451,0.008783722,0,0
Niger,Sub-Saharan Africa,4.165516376,-0.035582542,4.057292938,4.13566494,0.0535575,6.818792343,914.8794556,50.94501114,0.659665585,0.010427473,0.702045143,0.010027261,0.107465871,0.006393108,0.764081836,0.009199022,0,0
Nigeria,Sub-Saharan Africa,5.155352592,0.262810707,5.090284348,5.105355263,0.061179783,8.610159874,5487.125977,45.49649048,0.784353793,0.009824582,0.762667954,0.009991368,0.284790784,0.010436798,0.888043284,0.00618195,0,0
North Cyprus,Western Europe,5.834826469,,,,0.060972191,,,,0.800413132,0.011277474,0.790459394,0.011845626,0.381759912,0.013471577,0.663229167,0.013076104,0,0
Norway,Western Europe,7.593714714,-0.038572788,7.434960842,7.601207256,0.032335278,11.07193184,64339.67969,71.086586,0.952147007,0.004898946,0.951561332,0.005051777,0.625536561,0.010837642,0.319610327,0.009513007,1,0
Pakistan,South Asia,5.472465515,0.470220089,4.98960638,5.2412076,0.038743582,8.492357254,4877.349609,57.33160782,0.636363983,0.009603818,0.655409873,0.009448231,0.298179924,0.009008286,0.737520158,0.008096728,0,1
Palestinian Territories,Middle East and North Africa,4.743304253,0.197306633,4.688515663,4.632899284,0.054743581,8.460144997,4722.742676,62.95491028,0.802767038,0.008772081,0.59805429,0.010916457,0.086062767,0.006038444,0.805517614,0.008308804,0,0
Panama,Latin America and Caribbean,6.430038929,-0.665175915,6.335502148,6.842073917,0.055570386,9.968957901,21353.2207,67.87735748,0.893325925,0.006550258,0.876232862,0.00722747,0.27113536,0.00973331,0.830189526,0.007370941,0,0
Paraguay,Latin America and Caribbean,5.680560112,0.018394947,5.898855209,5.610031128,0.052870538,9.077331543,8754.573242,63.35182571,0.927525759,0.006228087,0.828851402,0.009573802,0.258835465,0.011165182,0.809968591,0.010071302,0,0
Peru,Latin America and Caribbean,5.663168907,0.242562294,,,0.05471167,9.395082474,12029.08203,65.20940399,0.815927446,0.008674507,0.819967449,0.008485406,0.175812826,0.008270961,0.88358295,0.006295578,0,0
Philippines,Southeast Asia,5.524094582,0.720180035,,,0.0575062,8.887071609,7237.792969,60.12985229,0.841832042,0.007786572,0.914903224,0.006026397,0.179394484,0.008354496,0.752503037,0.008104384,0,0
Poland,Central and Eastern Europe,6.123031139,0.275109768,5.649276733,5.868910313,0.038517367,10.17238712,26170.47461,68.57077789,0.897184134,0.006500443,0.833217442,0.008278379,0.259615868,0.009101433,0.828770638,0.009703608,1,0
Portugal,Western Europe,5.410372257,0.108314514,5.687577248,5.243886948,0.050198019,10.21084213,27196.46094,71.80517578,0.889680147,0.006972956,0.84693563,0.007721746,0.182340503,0.008274169,0.915970087,0.00514911,1,0
Qatar,Middle East and North Africa,6.374529362,-0.18682003,6.394962311,6.961961269,0.09871266,11.6931572,119749.4844,67.53752136,,,,,,,,,0,1
Romania,Central and Eastern Europe,5.945211887,0.806694031,,,0.047386181,9.979952812,21589.29297,66.85708618,0.80361259,0.008724177,0.817901909,0.008585725,0.214329153,0.008859009,0.945374608,0.004721814,0,0
Russia,Commonwealth of Independent States,5.809670925,0.422250748,5.547629833,5.555467606,0.033627558,10.0938797,24194.47852,62.83291626,0.909935653,0.004749088,0.710038066,0.007592376,0.188827589,0.006022562,0.899817526,0.004797604,0,1
Rwanda,Sub-Saharan Africa,3.408091784,-0.787680387,3.898634672,3.703133821,0.046733625,7.464259148,1744.562622,56.58612061,0.671545029,0.012082609,0.909072161,0.007618601,0.193597957,0.010063434,0.126146942,0.007910211,0,0
Saudi Arabia,Middle East and North Africa,6.370938301,0.016061306,6.154642582,6.571940422,0.056400146,10.82507515,50265.54688,63.93116379,0.849554539,0.008443597,0.802285314,0.009055658,0.29694277,0.010520655,,,0,1
Senegal,Sub-Saharan Africa,4.63109827,0.167741299,4.513775349,4.345318794,0.038814984,7.774437428,2379.004639,57.63000488,0.762184322,0.009205538,0.715303302,0.009670214,0.122192129,0.006788577,0.795054495,0.008719104,0,0
Serbia,Central and Eastern Europe,5.398180485,0.977624893,5.035846233,5.023573399,0.051291451,9.527345657,13730.09863,65.5536499,0.86507827,0.007384787,0.616313636,0.010772293,0.250889659,0.009109197,0.867465258,0.007339205,0,0
Sierra Leone,Sub-Saharan Africa,4.570586205,1.005667448,4.582998753,4.286558628,0.072228052,7.219619751,1365.969604,43.99452591,0.637856841,0.010576994,0.672936916,0.010436265,0.235969976,0.009069049,0.848775864,0.007018459,0,0
Singapore,Southeast Asia,6.34320116,-0.16432333,6.606968403,6.539396763,0.032210682,11.30852604,81513.67188,75.72083282,0.8985461,0.00635042,0.905234754,0.006510208,0.588738441,0.010899631,0.103113577,0.006853381,0,1
Slovakia,Central and Eastern Europe,6.173422337,0.121199131,5.747101784,6.06730938,0.040946957,10.2827034,29222.76758,68.42314148,0.933639348,0.00514297,0.671541095,0.010511471,0.285165846,0.009429195,0.92114085,0.005097176,1,0
Slovenia,Central and Eastern Europe,5.947597504,-0.050133228,5.703210354,5.974480629,0.048646025,10.31210327,30094.66797,70.94329071,0.921112299,0.006223831,0.90656358,0.007063997,0.351247758,0.010548311,0.852600038,0.007336619,1,0
Somalia,Sub-Saharan Africa,4.981533527,,,,0.053626519,,,47.62682343,0.596474707,0.012023979,0.940793991,0.005908661,0.175083295,0.009168145,0.425927848,0.011255116,0,0
South Africa,Sub-Saharan Africa,4.723993778,-0.348079681,4.784367561,4.826142788,0.054337651,9.415628433,12278.78711,54.38080597,0.881908178,0.007262586,0.808618486,0.008992473,0.194970846,0.008507144,0.843749583,0.006523947,0,0
South Korea,East Asia,5.874896049,0.158480644,,,0.047314417,10.46389961,35027.87891,74.04169464,0.797612429,0.008945324,0.579579115,0.011404184,0.389888555,0.010990216,0.851699948,0.007205758,1,1
South Sudan,Sub-Saharan Africa,3.254162073,,3.924532413,3.370301962,0.066784292,7.480453014,1773.043823,49.57999039,0.553805053,0.011338473,0.468049556,0.011535002,0.255653292,0.009739558,0.751583517,0.009433502,0,0
